"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","0","30","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","0","15","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","0","4","1","0.000000","0","0"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","24","0","45","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","0","2","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","24","0","45","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Basic_Wall.M_Basic_Wall","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Frame.M_Frame","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Glass.M_Glass","24","0","30","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","24","0","40","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Chair.M_Chair","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Pine.M_Wood_Pine","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Oak.M_Wood_Oak","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Water_Ocean.M_Water_Ocean","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Water_Lake.M_Water_Lake","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Panel.M_Tech_Panel","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Slate.M_Rock_Slate","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Steel.M_Metal_Steel","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Rust.M_Metal_Rust","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Gold.M_Metal_Gold","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Copper.M_Metal_Copper","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ground_Moss.M_Ground_Moss","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ground_Grass.M_Ground_Grass","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_TableRound.M_TableRound","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","24","0","30","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Statue.M_Statue","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Lamp.M_Lamp","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_Spark.M_Spark","24","0","6","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","24","0","8","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","24","0","30","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","24","0","6","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Basic_Floor.M_Basic_Floor","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Shelf.M_Shelf","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Rock.M_Rock","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","24","0","15","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","24","0","15","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Door.M_Door","24","0","45","1","0.000000","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Bush.M_Bush","24","0","52","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","24","0","8","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/m_flare_01.m_flare_01","24","0","8","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","24","0","6","1","0.000000","0","0"
"/Game/MobileStarterContent/Particles/Materials/M_Burst.M_Burst","24","0","12","1","0.000000","0","0"
